Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2004-02-25T06:00:00Z,0.17,,14.93
M,H,2004-03-02T06:00:00Z,0.17,,10.81
M,H,2004-03-05T22:00:00Z,0.17,,11.84
M,H,2004-03-10T12:00:00Z,0.17,,15.44
M,H,2004-03-10T13:00:00Z,0.17,,17.5
M,H,2004-03-10T14:00:00Z,0.17,,13.9
M,H,2004-03-10T15:00:00Z,0.17,,15.44
M,H,2004-03-10T17:00:00Z,0.17,,16.99
M,H,2004-03-10T18:00:00Z,0.17,,15.44
M,H,2004-03-10T22:00:00Z,0.17,,14.41
M,H,2004-03-10T23:00:00Z,0.17,,16.47
M,H,2004-03-11T00:00:00Z,0.17,,18.53
M,H,2004-03-11T02:00:00Z,0.17,,19.56
M,H,2004-03-11T03:00:00Z,0.17,,17.5
M,H,2004-03-11T05:00:00Z,0.17,,12.35
M,H,2004-03-23T04:00:00Z,0.17,,14.93
M,H,2004-03-24T01:00:00Z,0.17,,14.93
M,H,2004-03-24T02:00:00Z,0.17,,14.93
M,H,2004-03-24T06:00:00Z,0.17,,13.38
M,H,2004-03-24T11:00:00Z,0.17,,13.38
M,H,2004-03-24T12:00:00Z,0.17,,11.84
M,H,2004-03-25T00:00:00Z,0.17,,11.84
M,H,2004-03-26T01:00:00Z,0.17,,10.3
M,H,2004-03-27T02:00:00Z,0.17,,15.96
M,H,2004-03-27T03:00:00Z,0.17,,16.47
M,H,2004-03-27T04:00:00Z,0.17,,16.99
M,H,2004-03-27T07:00:00Z,0.17,,16.47
M,H,2004-03-27T08:00:00Z,0.17,,14.93
M,H,2004-03-27T09:00:00Z,0.17,,15.44
M,H,2004-03-27T11:00:00Z,0.17,,16.99
M,H,2004-03-27T12:00:00Z,0.17,,16.99
M,H,2004-03-27T13:00:00Z,0.17,,15.96
M,H,2004-03-27T14:00:00Z,0.17,,16.47
M,H,2004-03-27T15:00:00Z,0.17,,15.96
M,H,2004-03-27T17:00:00Z,0.17,,15.96
M,H,2004-03-27T18:00:00Z,0.17,,16.47
M,H,2004-03-27T19:00:00Z,0.17,,16.99
M,H,2004-03-27T20:00:00Z,0.17,,16.99
M,H,2004-03-27T21:00:00Z,0.17,,16.99
M,H,2004-03-27T22:00:00Z,0.17,,15.96
M,H,2004-03-28T01:00:00Z,0.17,,16.47
M,H,2004-03-28T02:00:00Z,0.17,,16.99
M,H,2004-03-28T03:00:00Z,0.17,,15.96
M,H,2004-03-29T03:00:00Z,0.17,,16.47
M,H,2004-03-29T04:00:00Z,0.17,,13.38
M,H,2004-03-29T14:00:00Z,0.17,,16.47
M,H,2004-03-29T15:00:00Z,0.17,,17.5
M,H,2004-03-29T19:00:00Z,0.17,,16.47
M,H,2004-03-29T21:00:00Z,0.17,,14.41
M,H,2004-03-29T23:00:00Z,0.17,,12.87
M,H,2004-04-02T04:00:00Z,0.17,,13.38
M,H,2004-04-03T10:00:00Z,0.17,,11.84
M,H,2004-04-04T00:00:00Z,0.17,,12.87
M,H,2004-04-05T00:00:00Z,0.17,,15.44
M,H,2004-04-05T01:00:00Z,0.17,,18.02
M,H,2004-04-05T03:00:00Z,0.17,,12.35
M,H,2004-04-10T02:00:00Z,0.17,,14.93
M,H,2004-04-10T03:00:00Z,0.17,,16.99
M,H,2004-04-10T04:00:00Z,0.17,,14.93
M,H,2004-04-10T11:00:00Z,0.17,,16.47
M,H,2004-04-10T12:00:00Z,0.17,,16.47
M,H,2004-04-10T13:00:00Z,0.17,,13.38
M,H,2004-04-10T16:00:00Z,0.17,,13.9
M,H,2004-04-10T17:00:00Z,0.17,,15.96
M,H,2004-04-10T22:00:00Z,0.17,,16.99
M,H,2004-04-15T04:00:00Z,0.17,,11.32
M,H,2004-04-21T03:00:00Z,0.17,,11.32
M,H,2004-05-01T00:00:00Z,0.17,,9.78
M,H,2004-05-03T04:00:00Z,0.17,,14.41
M,H,2004-05-03T06:00:00Z,0.17,,11.84
M,H,2004-05-04T09:00:00Z,0.17,,12.87
M,H,2004-05-04T16:00:00Z,0.17,,20.08
M,H,2004-05-04T17:00:00Z,0.17,,16.47
M,H,2004-05-04T18:00:00Z,0.17,,15.44
M,H,2004-05-04T19:00:00Z,0.17,,12.87
M,H,2004-05-04T21:00:00Z,0.17,,13.9
M,H,2004-05-05T12:00:00Z,0.17,,18.02
M,H,2004-05-05T13:00:00Z,0.17,,14.93
M,H,2004-05-05T15:00:00Z,0.17,,12.87
M,H,2004-05-05T17:00:00Z,0.17,,11.84
M,H,2004-05-05T19:00:00Z,0.17,,13.38
M,H,2004-05-05T21:00:00Z,0.17,,13.9
M,H,2004-05-05T23:00:00Z,0.17,,19.56
M,H,2004-05-06T00:00:00Z,0.17,,16.47
M,H,2004-05-06T06:00:00Z,0.17,,15.44
M,H,2004-05-06T07:00:00Z,0.17,,14.41
M,H,2004-05-06T20:00:00Z,0.17,,12.87
M,H,2004-05-07T03:00:00Z,0.17,,11.32
M,H,2004-05-18T12:00:00Z,0.17,,11.84
M,H,2004-05-18T20:00:00Z,0.17,,9.27
M,H,2004-05-27T05:00:00Z,0.17,,11.32
M,H,2004-05-29T22:00:00Z,0.17,,13.9
M,H,2004-05-30T02:00:00Z,0.17,,12.87
M,H,2004-05-30T03:00:00Z,0.17,,15.96
M,H,2004-05-30T05:00:00Z,0.17,,14.41
M,H,2004-05-30T13:00:00Z,0.17,,18.02
M,H,2004-05-30T14:00:00Z,0.17,,15.44
M,H,2004-05-30T15:00:00Z,0.17,,16.99
M,H,2004-05-30T16:00:00Z,0.17,,18.53
M,H,2004-05-30T17:00:00Z,0.17,,13.38
M,H,2004-05-30T18:00:00Z,0.17,,18.53
M,H,2004-05-30T22:00:00Z,0.17,,15.96
M,H,2004-05-31T02:00:00Z,0.17,,13.9
